Education_Level,Gender,Field_of_Study,Domestic_or_International,Work_Status,Education_Mode,Online_Courses_Last_Year,Online_Influence_Factors,Offline_Influence_Factors,Online_Effectiveness,Online_Challenges,Online_Student_Engagement,Online_Material_Satisfaction,Online_Collaboration,Offline_Benefits,Offline_Resources_Satisfaction,Offline_Classroom_Engagement,Offline_Motivation,Better_Grades_Mode,Job_Preparation_Mode
Undergraduate,Female,Economics,Domestic student,Part-time,Online,Yes,Availability of courses,Convenience of location,4,Lack of interaction with peers,Very often,Very satisfied,Yes,Easier to focus,Very satisfied,Poor,Agree,Online,Offline
Undergraduate,Female,Arts,Domestic student,Full-time,Offline (In-person),Yes,Quality of education,Convenience of location,4,Lack of interaction with peers,Sometimes,Satisfied,Yes,More structured schedule,Satisfied,Excellent,Agree,Online,Online
Graduate,Male,Science,Domestic student,Full-time,Offline (In-person),Yes,Quality of education,Convenience of location,5,Difficulty staying motivated,Very often,Very satisfied,Yes,More engaging learning environment,Satisfied,Excellent,Strongly agree,Online,Online
Undergraduate,Female,Business,Foreign (International) student,Part-time,Online,Yes,Availability of courses,Convenience of location,5,Difficulty staying motivated,Never,Very satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Satisfied,Excellent,Agree,Online,Offline
Graduate,Male,Information & Technology,Domestic student,Full-time,Offline (In-person),Yes,Availability of courses,Face-to-face interaction with instructors and peers,5,Difficulty staying motivated,Very often,Very satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Very satisfied,Excellent,Strongly agree,Online,Online
Graduate,Male,Information & Technology,Domestic student,Full-time,Offline (In-person),Yes,Interaction with peers/instructors,Flexibility in schedule,5,Lack of interaction with peers,Sometimes,Very satisfied,Yes,More engaging learning environment,Very satisfied,Excellent,Agree,Online,Online
Undergraduate,Female,Business,Foreign (International) student,Full-time,Online,Yes,Convenience of location,Flexibility in schedule,5,Technical difficulties,Sometimes,Very satisfied,Yes,More structured schedule,Very satisfied,Excellent,Strongly agree,Online,Online
Undergraduate,Male,Information & Technology,Domestic student,Full-time,Online,No,Quality of education,Quality of education,5,Lack of interaction with peers,Very often,Satisfied,Yes,Easier to focus,Very satisfied,Excellent,Agree,Offline,Online
High School,Female,Information & Technology,Domestic student,Full-time,Offline (In-person),Yes,Quality of education,Flexibility in schedule,5,Lack of interaction with peers,Very often,Neutral,Yes,Easier to focus,Very satisfied,Excellent,Strongly agree,Online,Offline
Graduate,Female,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),No,Flexibility in schedule,Cost,5,Poor internet connection,Very often,Very satisfied,Yes,Better interaction with instructors,Very satisfied,Excellent,Agree,Online,Online
Undergraduate,Female,Business,Domestic student,Part-time,Offline (In-person),Yes,Convenience of location,Flexibility in schedule,5,Difficulty staying motivated,Very often,Very satisfied,Yes,More engaging learning environment,Very satisfied,Excellent,Strongly agree,Online,Offline
Graduate,Female,Engineering,Foreign (International) student,Full-time,Offline (In-person),Yes,Convenience of location,Flexibility in schedule,5,Doubts remain unclear,Very often,Very satisfied,Yes,More engaging learning environment,Very satisfied,Good,Strongly agree,Offline,Online
Undergraduate,Female,Economics,Domestic student,Full-time,Offline (In-person),Yes,Convenience of location,Prefer in-person exams and assessments,5,Difficulty staying motivated,Very often,Very satisfied,Yes,More engaging learning environment,Satisfied,Average,Strongly agree,Online,Offline
Undergraduate,Female,Economics,Domestic student,Part-time,Online,Yes,Cost,Convenience of location,5,Lack of interaction with peers,Sometimes,Very satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Satisfied,Excellent,Strongly agree,Online,Offline
Graduate,Female,Business,Domestic student,Part-time,Online,Yes,Flexibility in schedule,Cost,5,Poor internet connection,Sometimes,Very satisfied,Yes,Easier to focus,Very satisfied,Excellent,Strongly agree,Online,Online
Undergraduate,Female,Business,Domestic student,Part-time,Offline (In-person),Yes,Convenience of location,Flexibility in schedule,5,Lack of interaction with peers,Very often,Very satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Very satisfied,Excellent,Agree,Online,Online
Undergraduate,Female,Economics,Domestic student,Full-time,Offline (In-person),Yes,Interaction with peers/instructors,Convenience of location,5,Lack of interaction with peers,Very often,Very satisfied,Yes,Easier to focus,Very satisfied,Excellent,Agree,Online,Online
Undergraduate,Male,Engineering,Domestic student,Full-time,Offline (In-person),Yes,Cost,Flexibility in schedule,5,Difficulty staying motivated,Very often,Very satisfied,Yes,Easier to focus,Very satisfied,Excellent,Strongly agree,Online,Online
Undergraduate,Male,Business,Domestic student,Full-time,Offline (In-person),Yes,Flexibility in schedule,Convenience of location,5,Poor internet connection,Very often,Very satisfied,Yes,More engaging learning environment,Very satisfied,Excellent,Agree,Online,Offline
Undergraduate,Male,Economics,Domestic student,Full-time,Offline (In-person),No,Convenience of location,Flexibility in schedule,5,Difficulty staying motivated,Very often,Very satisfied,Yes,More engaging learning environment,Very satisfied,Excellent,Strongly agree,Online,Online
Undergraduate,Female,Arts,Foreign (International) student,Full-time,Offline (In-person),Yes,Flexibility in schedule,Flexibility in schedule,5,Technical difficulties,Very often,Satisfied,No,Easier to focus,Very satisfied,Excellent,Agree,Offline,Online
Undergraduate,Female,Economics,Domestic student,Full-time,Online,Yes,Quality of education,Convenience of location,5,Poor internet connection,Very often,Very satisfied,No,More engaging learning environment,Very satisfied,Excellent,Agree,Offline,Offline
High School,Male,Arts,Domestic student,Full-time,Online,No,Flexibility in schedule,Flexibility in schedule,5,Lack of interaction with peers,Very often,Very satisfied,Yes,Easier to focus,Very satisfied,Excellent,Strongly agree,Online,Offline
High School,Male,Medical,Domestic student,Part-time,Offline (In-person),Yes,Flexibility in schedule,Availability of courses,5,Lack of interaction with peers,Very often,Very satisfied,Yes,Better interaction with instructors,Very satisfied,Excellent,Agree,Online,Online
Undergraduate,Male,Information & Technology,Foreign (International) student,Full-time,Offline (In-person),Yes,Quality of education,Flexibility in schedule,5,Poor internet connection,Very often,Very satisfied,Yes,Easier to focus,Very satisfied,Excellent,Strongly agree,Online,Online
Graduate,Female,Engineering,Foreign (International) student,Full-time,Offline (In-person),Yes,Flexibility in schedule,Quality of education,5,Poor internet connection,Very often,Very satisfied,No,Better interaction with instructors,Very satisfied,Excellent,Strongly agree,Online,Online
Graduate,Female,Medical,Domestic student,Full-time,Online,Yes,Interaction with peers/instructors,Flexibility in schedule,5,Poor internet connection,Very often,Very satisfied,Yes,Better interaction with instructors,Very satisfied,Excellent,Strongly agree,Online,Offline
Undergraduate,Male,Economics,Foreign (International) student,Part-time,Online,Yes,Interaction with peers/instructors,Flexibility in schedule,4,Lack of interaction with peers,Very often,Very satisfied,Yes,Easier to focus,Very satisfied,Excellent,Agree,Online,Offline
Undergraduate,Male,Information & Technology,Domestic student,Part-time,Online,Yes,Quality of education,Cost,4,Difficulty staying motivated,Very often,Very satisfied,No,Easier to focus,Very satisfied,Excellent,Strongly agree,Online,Online
Undergraduate,Male,Engineering,Foreign (International) student,Part-time,Offline (In-person),Yes,Convenience of location,Flexibility in schedule,4,Poor internet connection,Very often,Unsatisfied,Yes,More engaging learning environment,Satisfied,Excellent,Strongly agree,Online,Online
High School,Prefer not to say,Business,Foreign (International) student,Part-time,Online,Yes,Interaction with peers/instructors,Face-to-face interaction with instructors and peers,3,Lack of interaction with peers,Very often,Very satisfied,Yes,Easier to focus,Very satisfied,Good,Strongly agree,Online,Online
Graduate,Female,Science,Domestic student,Full-time,Online,No,Flexibility in schedule,Cost,3,Lack of interaction with peers,Sometimes,Very satisfied,Yes,Easier to focus,Very satisfied,Excellent,Strongly agree,Offline,Offline
Undergraduate,Female,Economics,Domestic student,Full-time,Online,Yes,Flexibility in schedule,Convenience of location,4,Lack of interaction with peers,Very often,Very satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Very satisfied,Excellent,Strongly agree,Online,Online
Undergraduate,Male,Information & Technology,Domestic student,Part-time,Online,Yes,Convenience of location,Flexibility in schedule,4,Lack of interaction with peers,Very often,Very satisfied,Yes,More engaging learning environment,Very satisfied,Excellent,Agree,Offline,Offline
Undergraduate,Male,Business,Domestic student,Full-time,Offline (In-person),Yes,Flexibility in schedule,Convenience of location,4,Lack of interaction with peers,Very often,Very satisfied,Yes,Easier to focus,Very satisfied,Excellent,Strongly agree,Online,Online
Undergraduate,Male,Economics,Domestic student,Full-time,Offline (In-person),Yes,Interaction with peers/instructors,Flexibility in schedule,4,Poor internet connection,Very often,Very satisfied,Yes,More engaging learning environment,Very satisfied,Excellent,Agree,Online,Online
Undergraduate,Female,Business,Domestic student,Full-time,Offline (In-person),Yes,Cost,Flexibility in schedule,3,Poor internet connection,Sometimes,Neutral,No,Easier to focus,Satisfied,Good,Agree,Offline,Offline
High School,Male,Economics,Domestic student,Full-time,Offline (In-person),Yes,Flexibility in schedule,Quality of education,3,Lack of interaction with peers,Sometimes,Very satisfied,Yes,Easier to focus,Very satisfied,Excellent,Agree,Offline,Offline
High School,Male,Economics,Domestic student,Full-time,Offline (In-person),Yes,Flexibility in schedule,Face-to-face interaction with instructors and peers,5,Poor internet connection,Sometimes,Unsatisfied,Yes,Easier to focus,Very satisfied,Good,Agree,Online,Online
Undergraduate,Prefer not to say,Business,Domestic student,Full-time,Offline (In-person),Yes,Flexibility in schedule,Cost,3,Difficulty staying motivated,Sometimes,Satisfied,No,Easier to focus,Very satisfied,Excellent,Neutral,Offline,Offline
Undergraduate,Male,Business,Foreign (International) student,Full-time,Offline (In-person),Yes,Convenience of location,Flexibility in schedule,5,Lack of access to course materials,Very often,Unsatisfied,Yes,More engaging learning environment,Satisfied,Average,Agree,Offline,Offline
High School,Female,Medical,Domestic student,Part-time,Offline (In-person),No,Cost,Quality of education,4,Lack of interaction with peers,Sometimes,Satisfied,Yes,Easier to focus,Satisfied,Good,Agree,Online,Online
Undergraduate,Male,Business,Foreign (International) student,Full-time,Offline (In-person),Yes,Interaction with peers/instructors,Cost,3,Technical difficulties,Very often,Satisfied,No,Easier to focus,Very satisfied,Average,Agree,Offline,Offline
Undergraduate,Female,Engineering,Domestic student,Part-time,Offline (In-person),No,Convenience of location,Face-to-face interaction with instructors and peers,4,Technical difficulties,Never,Satisfied,Yes,Easier to focus,Satisfied,Good,Agree,Online,Online
High School,Prefer not to say,Business,Domestic student,Not working,Offline (In-person),No,Avoiding travel/commute time,Face-to-face interaction with instructors and peers,4,Technical difficulties,Rarely,Neutral,Yes,Easier to focus,Neutral,Average,Strongly agree,Online,Online
Undergraduate,Prefer not to say,Engineering,Domestic student,Full-time,Offline (In-person),No,Cost,Quality of education,3,Poor internet connection,Very often,Satisfied,No,Easier to focus,Very satisfied,Excellent,Agree,Offline,Offline
High School,Prefer not to say,Business,Domestic student,Part-time,Online,No,Convenience of location,Quality of education,3,Difficulty staying motivated,Rarely,Neutral,Yes,More engaging learning environment,Satisfied,Average,Agree,Online,Online
High School,Female,Arts,Domestic student,Part-time,Offline (In-person),No,Convenience of location,Quality of education,3,Poor internet connection,Very often,Neutral,No,Easier to focus,Neutral,Good,Agree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Full-time,Online,Yes,Flexibility in schedule,Quality of education,5,Technical difficulties,Very often,Very satisfied,Yes,Easier to focus,Very satisfied,Excellent,Strongly agree,Online,Online
Undergraduate,Female,Business,Domestic student,Part-time,Offline (In-person),No,Convenience of location,Flexibility in schedule,5,Poor internet connection,Very often,Very satisfied,Yes,More engaging learning environment,Satisfied,Excellent,Agree,Offline,Online
Graduate,Male,Information & Technology,Foreign (International) student,Full-time,Online,Yes,Flexibility in schedule,Flexibility in schedule,5,Difficulty staying motivated,Very often,Very satisfied,Yes,Better interaction with instructors,Very satisfied,Excellent,Neutral,Online,Online
Graduate,Male,Engineering,Foreign (International) student,Full-time,Offline (In-person),No,Flexibility in schedule,Face-to-face interaction with instructors and peers,3,Lack of interaction with peers,Rarely,Very satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Very satisfied,Excellent,Strongly agree,Offline,Online
Undergraduate,Female,Information & Technology,Domestic student,Full-time,Online,Yes,Flexibility in schedule,Convenience of location,5,Technical difficulties,Very often,Very satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Very satisfied,Average,Strongly disagree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated",Sometimes,Very satisfied,Yes,Better interaction with instructors,Neutral,Average,Strongly disagree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Cost, Avoiding travel/commute time","Face-to-face interaction with instructors and peers, Availability of courses",5,"Poor internet connection, Technical difficulties",Very often,Very satisfied,Yes,"Better interaction with instructors, Better access to facilities (labs, libraries, etc.), More structured schedule",Very unsatisfied,Very poor,Strongly disagree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Cost, Quality of education, Interaction with peers/instructors, Avoiding travel/commute time","Face-to-face interaction with instructors and peers, Availability of courses",5,"Poor internet connection, Difficulty staying motivated, Technical difficulties",Very often,Very satisfied,Yes,"Better interaction with instructors, Better access to facilities (labs, libraries, etc.)",Very unsatisfied,Very poor,Strongly disagree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,"Poor internet connection, Difficulty staying motivated, Technical difficulties",Very often,Very satisfied,Yes,Better interaction with instructors,Very unsatisfied,Very poor,Strongly disagree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Very often,Very satisfied,Yes,Better interaction with instructors,Neutral,Very poor,Strongly disagree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,"Poor internet connection, Technical difficulties",Very often,Very satisfied,Yes,Better interaction with instructors,Neutral,Average,Strongly disagree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,"Poor internet connection, Technical difficulties",Very often,Very satisfied,Yes,Better interaction with instructors,Neutral,Average,Strongly disagree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,"Poor internet connection, Technical difficulties",Very often,Very satisfied,Yes,"Better interaction with instructors, More structured schedule",Neutral,Average,Strongly disagree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,"Poor internet connection, Technical difficulties",Very often,Very satisfied,Yes,Better interaction with instructors,Neutral,Average,Strongly disagree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,"Poor internet connection, Difficulty staying motivated",Very often,Very satisfied,Yes,"Better interaction with instructors, Better access to facilities (labs, libraries, etc.)",Neutral,Average,Strongly disagree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,"Poor internet connection, Technical difficulties",Very often,Very satisfied,Yes,Better interaction with instructors,Neutral,Average,Strongly disagree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Interaction with peers/instructors, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,"Poor internet connection, Technical difficulties",Very often,Very satisfied,Yes,More engaging learning environment,Very unsatisfied,Very poor,Strongly disagree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Cost, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,"Poor internet connection, Difficulty staying motivated, Technical difficulties",Very often,Very satisfied,Yes,Better interaction with instructors,Very unsatisfied,Very poor,Strongly disagree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Cost, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,"Poor internet connection, Difficulty staying motivated, Technical difficulties",Very often,Very satisfied,Yes,Better interaction with instructors,Very unsatisfied,Very poor,Strongly disagree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Cost, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,Technical difficulties,Very often,Very satisfied,Yes,Better interaction with instructors,Very unsatisfied,Very poor,Strongly disagree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Cost, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,"Poor internet connection, Difficulty staying motivated, Technical difficulties",Very often,Very satisfied,Yes,Better interaction with instructors,Very unsatisfied,Very poor,Strongly disagree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Convenience of location, Quality of education, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,"Poor internet connection, Difficulty staying motivated",Very often,Very satisfied,Yes,Better interaction with instructors,Very unsatisfied,Very poor,Strongly disagree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Online,Yes,Interaction with peers/instructors,Face-to-face interaction with instructors and peers,5,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated",Very often,Very satisfied,Yes,Better interaction with instructors,Very unsatisfied,Very poor,Strongly disagree,Online,Online
Graduate,Prefer not to say,Information & Technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,"Difficulty staying motivated, Technical difficulties",Very often,Very satisfied,Yes,Better interaction with instructors,Very unsatisfied,Very poor,Strongly disagree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Cost, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,"Poor internet connection, Lack of interaction with peers, Technical difficulties, Lack of access to course materials",Very often,Very satisfied,Yes,Better interaction with instructors,Very unsatisfied,Very poor,Strongly disagree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Quality of education, Availability of courses",Face-to-face interaction with instructors and peers,5,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Very often,Very satisfied,Yes,Better interaction with instructors,Very unsatisfied,Very poor,Strongly disagree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Very often,Very satisfied,Yes,Better interaction with instructors,Very unsatisfied,Very poor,Strongly disagree,Online,Online
Graduate,Prefer not to say,Information & Technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Very often,Very satisfied,Yes,Better interaction with instructors,Very unsatisfied,Very poor,Strongly disagree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Very often,Very satisfied,Yes,Better interaction with instructors,Very unsatisfied,Very poor,Strongly disagree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Very often,Very satisfied,Yes,Better interaction with instructors,Very unsatisfied,Very poor,Strongly disagree,Online,Online
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time",Face-to-face interaction with instructors and peers,5,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Very often,Very satisfied,Yes,Better interaction with instructors,Very unsatisfied,Very poor,Strongly disagree,Online,Online
Undergraduate,Male,Arts,Domestic student,Part-time,Offline (In-person),No,Convenience of location,Flexibility in schedule,3,Lack of interaction with peers,Sometimes,Satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Neutral,Average,Neutral,Online,Online
High School,Female,Business,Domestic student,Part-time,Offline (In-person),No,Interaction with peers/instructors,Quality of education,2,Difficulty staying motivated,Sometimes,Satisfied,Yes,Easier to focus,Very satisfied,Good,Agree,Online,Online
Graduate,Female,Business,Domestic student,Part-time,Offline (In-person),No,Convenience of location,Quality of education,2,Difficulty staying motivated,Sometimes,Satisfied,Yes,Easier to focus,Satisfied,Good,Agree,Online,Online
High School,Prefer not to say,Economics,Domestic student,Not working,Online,Yes,Flexibility in schedule,Flexibility in schedule,3,Difficulty staying motivated,Very often,Satisfied,Yes,More engaging learning environment,Satisfied,Average,Disagree,Online,Offline
High School,Prefer not to say,Science,Foreign (International) student,Part-time,Offline (In-person),No,Avoiding travel/commute time,Quality of education,2,Lack of interaction with peers,Very often,Very satisfied,Yes,More structured schedule,Neutral,Good,Neutral,Online,Offline
Graduate,Prefer not to say,Arts,Foreign (International) student,Part-time,Offline (In-person),No,Convenience of location,Convenience of location,5,Lack of access to course materials,Rarely,Unsatisfied,No,More structured schedule,Neutral,Poor,Agree,Online,Offline
Undergraduate,Female,Arts,Domestic student,Part-time,Offline (In-person),No,Interaction with peers/instructors,Quality of education,3,Difficulty staying motivated,Rarely,Neutral,No,More engaging learning environment,Neutral,Average,Agree,Online,Online
High School,Male,Science,Foreign (International) student,Not working,Offline (In-person),Yes,Interaction with peers/instructors,Convenience of location,4,Doubts remain unclear,Rarely,Unsatisfied,No,More engaging learning environment,Satisfied,Average,Agree,Offline,Offline
Undergraduate,Female,Business,Foreign (International) student,Part-time,Online,Yes,Interaction with peers/instructors,Cost,4,Difficulty staying motivated,Sometimes,Satisfied,Yes,More engaging learning environment,Satisfied,Good,Agree,Offline,Online
Undergraduate,Female,Business,Domestic student,Not working,Offline (In-person),Yes,Flexibility in schedule,Cost,3,Difficulty staying motivated,Sometimes,Neutral,Yes,"Better access to facilities (labs, libraries, etc.)",Unsatisfied,Average,Agree,Online,Online
Graduate,Male,Medical,Foreign (International) student,Not working,Offline (In-person),No,Convenience of location,Convenience of location,4,Doubts remain unclear,Rarely,Neutral,Yes,More structured schedule,Neutral,Good,Disagree,Offline,Online
Graduate,Female,Business,Domestic student,Part-time,Online,Yes,Flexibility in schedule,Cost,4,Technical difficulties,Rarely,Neutral,Yes,More structured schedule,Satisfied,Average,Disagree,Online,Online
High School,Male,Business,Domestic student,Part-time,Offline (In-person),Yes,Cost,Quality of education,2,Lack of interaction with peers,Sometimes,Neutral,No,More engaging learning environment,Neutral,Excellent,Disagree,Online,Online
Graduate,Female,Medical,Domestic student,Full-time,Offline (In-person),Yes,Cost,Cost,3,Difficulty staying motivated,Rarely,Neutral,Yes,More engaging learning environment,Satisfied,Excellent,Disagree,Offline,Offline
Undergraduate,Prefer not to say,Medical,Foreign (International) student,Not working,Offline (In-person),No,Interaction with peers/instructors,Convenience of location,3,Lack of access to course materials,Sometimes,Satisfied,No,More engaging learning environment,Satisfied,Poor,Neutral,Offline,Offline
Undergraduate,Female,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),No,Convenience of location,Convenience of location,2,Lack of access to course materials,Rarely,Very satisfied,Yes,Easier to focus,Satisfied,Good,Neutral,Online,Offline
Graduate,Male,Business,Foreign (International) student,Part-time,Online,Yes,Cost,Flexibility in schedule,2,Technical difficulties,Never,Neutral,Yes,Easier to focus,Satisfied,Average,Disagree,Offline,Offline
High School,Male,Science,Domestic student,Not working,Online,Yes,Availability of courses,Quality of education,2,Difficulty staying motivated,Sometimes,Neutral,No,More engaging learning environment,Unsatisfied,Average,Agree,Online,Offline
Graduate,Female,Economics,Domestic student,Part-time,Offline (In-person),No,Cost,Convenience of location,4,Lack of interaction with peers,Sometimes,Satisfied,No,More engaging learning environment,Neutral,Average,Agree,Offline,Offline
Graduate,Male,Engineering,Foreign (International) student,Part-time,Offline (In-person),Yes,Convenience of location,Convenience of location,2,Technical difficulties,Rarely,Neutral,No,"Better access to facilities (labs, libraries, etc.)",Neutral,Average,Agree,Offline,Offline
Undergraduate,Female,Business,Foreign (International) student,Full-time,Online,Yes,Availability of courses,Convenience of location,3,Lack of access to course materials,Rarely,Neutral,Yes,More structured schedule,Unsatisfied,Poor,Agree,Offline,Offline
Undergraduate,Female,Economics,Foreign (International) student,Part-time,Online,Yes,Convenience of location,Convenience of location,3,Difficulty staying motivated,Sometimes,Neutral,Yes,More structured schedule,Satisfied,Average,Disagree,Offline,Offline
Undergraduate,Prefer not to say,Engineering,Foreign (International) student,Not working,Offline (In-person),No,Quality of education,Prefer in-person exams and assessments,3,Difficulty staying motivated,Rarely,Satisfied,No,More engaging learning environment,Satisfied,Good,Agree,Online,Offline
Undergraduate,Female,Business,Domestic student,Part-time,Offline (In-person),No,Interaction with peers/instructors,Quality of education,4,Difficulty staying motivated,Rarely,Neutral,Yes,More engaging learning environment,Neutral,Average,Agree,Offline,Offline
High School,Female,Business,Domestic student,Full-time,Offline (In-person),Yes,Availability of courses,Cost,2,Technical difficulties,Sometimes,Unsatisfied,Yes,Easier to focus,Very satisfied,Excellent,Agree,Offline,Online
Undergraduate,Female,Medical,Domestic student,Full-time,Offline (In-person),No,Convenience of location,Flexibility in schedule,4,Difficulty staying motivated,Sometimes,Neutral,Yes,Better interaction with instructors,Satisfied,Excellent,Strongly agree,Online,Offline
Graduate,Female,Information & Technology,Domestic student,Part-time,Online,Yes,Quality of education,Flexibility in schedule,4,Poor internet connection,Sometimes,Satisfied,No,Easier to focus,Satisfied,Good,Strongly agree,Offline,Online
